enfermedades,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Enfermedades del corazon,180.2,184.3,169.7,181.7,187.3,199.9,189.6,190.4,201.6,197.8,212.7,198.0,198.9,204.5,214.3,219.6,217.4,241.9,229.0,240.9,267.4,400.3,296.7
Tumores malignos,146.1,149.5,155.6,162.9,166.8,170.4,175.9,181.9,189.4,189.7,198.4,194.2,201.4,205.9,213.6,216.8,216.7,224.4,221.9,225.4,234.6,240.9,227.3
Influenza y neumonia,51.0,62.1,46.5,50.2,54.4,56.9,50.4,46.9,48.3,47.3,44.4,46.3,46.3,50.3,52.6,59.0,57.7,70.7,88.2,90.4,98.0,118.7,102.7
Enfermedades cerebrovasculares,72.4,71.7,68.1,72.8,73.4,77.9,74.2,75.0,82.3,83.7,87.1,77.0,79.4,81.2,83.5,83.0,84.2,88.4,71.7,74.9,59.4,225.3,93.1
COVID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,72.3,72.3
Accidentes,44.1,42.9,39.4,39.2,39.6,40.9,37.0,37.7,40.5,42.6,43.0,42.1,43.5,45.4,48.0,49.1,49.7,50.1,52.0,49.9,48.7,52.7,51.6
Enfermedades cronicas de las vias respiratorias inferiores ,20.9,24.7,20.3,25.9,27.7,27.4,24.9,29.0,28.0,27.7,29.1,31.3,30.3,34.6,35.6,38.2,37.1,39.6,36.4,39.0,31.7,60.1,38.2
"Enfermedades de las arterias, artereolas y vasos capilares",32.8,36.3,30.3,28.6,29.2,29.5,25.1,22.8,23.1,22.9,24.3,22.3,22.9,23.5,25.0,25.0,23.6,26.2,27.1,23.8,25.0,36.2,25.7
Diabetes mellitus,13.3,13.7,12.9,15.1,16.7,18.0,18.5,19.0,19.2,21.1,23.9,20.3,20.0,20.9,20.4,21.0,20.9,21.7,21.3,21.2,25.7,35.4,22.6
Cirrosis y otras enfermedades crónicas  del higado ,8.8,8.7,8.6,9.4,9.6,10.5,9.2,9.2,9.6,9.7,10.7,9.5,11.4,12.2,12.8,13.5,14.0,15.4,15.8,17.2,17.9,18.2,16.4
Lesiones autoinflingidas accidentalmente,16.4,14.7,14.2,13.3,13.5,12.4,12.2,11.6,12.3,13.1,13.9,13.6,13.3,13.4,13.0,13.5,12.8,14.0,13.3,13.0,13.8,16.0,12.9
